,Spectrogram,Local_File_Path,Pitch,Note,Octave
10,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-E2-pp-N-T25u.wav,E2,E,2
11,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F2-pp-N-T25u_R100u.wav,F2,F,2
12,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F#2-pp-N-T14u.wav,F#2,F#,2
13,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G2-pp-N-N.wav,G2,G,2
14,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G#2-pp-N-T16u.wav,G#2,G#,2
15,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav,A2,A,2
16,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav,A#2,A#,2
17,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav,B2,B,2
18,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C3-pp-N-T11d.wav,C3,C,3
19,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C#3-pp-N-N.wav,C#3,C#,3
20,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D3-pp-N-N.wav,D3,D,3
21,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D#3-pp-N-N.wav,D#3,D#,3
22,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-E3-pp-N-N.wav,E3,E,3
23,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F3-pp-N-N.wav,F3,F,3
24,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F#3-pp-N-N.wav,F#3,F#,3
25,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G3-pp-N-T14d.wav,G3,G,3
26,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G#3-pp-N-N.wav,G#3,G#,3
27,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav,A3,A,3
28,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav,A#3,A#,3
29,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-B3-pp-N-T14d.wav,B3,B,3
30,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C4-pp-N-N.wav,C4,C,4
31,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C#4-pp-N-N.wav,C#4,C#,4
32,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D4-pp-N-N.wav,D4,D,4
33,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D#4-pp-N-N.wav,D#4,D#,4
34,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-E4-pp-N-N.wav,E4,E,4
35,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F4-pp-N-N.wav,F4,F,4
36,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F#1-mf-N-T18u.wav,F#1,F#,1
37,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G1-mf-N-N.wav,G1,G,1
38,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G#1-mf-N-T18u.wav,G#1,G#,1
39,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A1-mf-N-T33u.wav,A1,A,1
40,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A#1-mf-N-N.wav,A#1,A#,1
41,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-B1-mf-N-T16u.wav,B1,B,1
42,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C2-mf-N-T23u.wav,C2,C,2
43,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C#2-mf-N-N.wav,C#2,C#,2
44,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D2-mf-N-T15u.wav,D2,D,2
45,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D#2-mf-N-T34u.wav,D#2,D#,2
46,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-E2-mf-N-T27u.wav,E2,E,2
47,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F2-mf-N-T24u.wav,F2,F,2
48,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F#2-mf-N-T19u.wav,F#2,F#,2
49,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G2-mf-N-T15u.wav,G2,G,2
50,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G#2-mf-N-T26u.wav,G#2,G#,2
51,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A2-mf-N-T29u.wav,A2,A,2
52,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A#2-mf-N-T29u.wav,A#2,A#,2
53,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-B2-mf-N-T17u.wav,B2,B,2
54,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C3-mf-N-T28u.wav,C3,C,3
55,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C#3-mf-N-T25u.wav,C#3,C#,3
56,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D3-mf-N-T16u.wav,D3,D,3
57,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D#3-mf-N-T25u.wav,D#3,D#,3
58,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-E3-mf-N-T23u.wav,E3,E,3
59,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F3-mf-N-N.wav,F3,F,3
60,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F#3-mf-N-N.wav,F#3,F#,3
61,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G3-mf-N-T14u.wav,G3,G,3
62,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G#3-mf-N-T11u.wav,G#3,G#,3
63,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A3-mf-N-N.wav,A3,A,3
64,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A#3-mf-N-T14u.wav,A#3,A#,3
